"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban","Family_Sci","Family_English","Coastal","Notes"
"1","Dendrocygna eytoni","Dendrocygna eytoni","Dendrocygna eytoni","Anatidae (Ducks, Geese, and Waterfowl)","Plumed Whistling-Duck",1.123033999,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"2","Dendrocygna viduata","Dendrocygna viduata","Dendrocygna viduata","Anatidae (Ducks, Geese, and Waterfowl)","White-faced Whistling-Duck",1.72379759214286,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"3","Dendrocygna autumnalis","Dendrocygna autumnalis","Dendrocygna autumnalis","Anatidae (Ducks, Geese, and Waterfowl)","Black-bellied Whistling-Duck",1.81844447970588,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"4","Dendrocygna arborea","Dendrocygna arborea","Dendrocygna arborea","Anatidae (Ducks, Geese, and Waterfowl)","West Indian Whistling-Duck",2.525220171,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"5","Dendrocygna bicolor","Dendrocygna bicolor","Dendrocygna bicolor","Anatidae (Ducks, Geese, and Waterfowl)","Fulvous Whistling-Duck",1.7588630859,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"6","Dendrocygna arcuata","Dendrocygna arcuata","Dendrocygna arcuata","Anatidae (Ducks, Geese, and Waterfowl)","Wandering Whistling-Duck",1.4556293044,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"7","Dendrocygna javanica","Dendrocygna javanica","Dendrocygna javanica","Anatidae (Ducks, Geese, and Waterfowl)","Lesser Whistling-Duck",1.37270642608333,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"8","Thalassornis leuconotus","Thalassornis leuconotus","Thalassornis leuconotus","Anatidae (Ducks, Geese, and Waterfowl)","White-backed Duck",1.361765305,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"9","Anser indicus","Anser indicus","Anser indicus","Anatidae (Ducks, Geese, and Waterfowl)","Bar-headed Goose",0.8575388156,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"10","Chen caerulescens","Anser caerulescens","Anser caerulescens","Anatidae (Ducks, Geese, and Waterfowl)","Snow Goose",1.61214412559091,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"11","Chen rossii","Anser rossii","Anser rossii","Anatidae (Ducks, Geese, and Waterfowl)","Ross's Goose",1.68849027738462,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
