animal,urban,humanDisturbed,UTI,tolerance,invasion.potential,Brain,Body,broodValue,HA,DA
Nothura_darwinii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothura_chacoensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nothura_boraquira,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothura_maculosa,0,1,-0.05480379204067365,NA,NA,1.54375,275.2875,NA,NA,NA
Nothura_minor,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchotus_rufescens,0,1,-0.05685281159278244,NA,NA,3.79,900,NA,NA,NA
Rhynchotus_maculicollis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothoprocta_curvirostris,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothoprocta_pentlandii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothoprocta_perdicaria,0,1,-0.10266124770399299,avoider,NA,NA,NA,NA,0.333333333333333,0.35
Nothoprocta_taczanowskii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothoprocta_cinerascens,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothoprocta_ornata,0,1,NA,NA,NA,2.85,596.25,NA,NA,NA
Taoniscus_nanus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Eudromia_formosa,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Eudromia_elegans,0,1,NA,NA,NA,2.58,578.5,NA,NA,NA
Tinamotis_ingoufi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Tinamotis_pentlandii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tinamus_major,0,1,NA,NA,NA,2.1,1225,NA,NA,NA
Tinamus_solitarius,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tinamus_osgoodi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tinamus_guttatus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tinamus_tao,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothocercus_nigrocapillus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nothocercus_bonapartei,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothocercus_julius,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_parvirostris,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_cinnamomeus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_obsoletus,0,1,NA,NA,NA,3.3,482,NA,NA,NA
Crypturellus_tataupa,0,0,NA,NA,NA,1.64,225,NA,NA,NA
Crypturellus_kerriae,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_brevirostris,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_erythropus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_bartletti,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_berlepschi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_boucardi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_transfasciatus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_soui,0,1,NA,NA,NA,1.54,216.5,NA,NA,NA
Crypturellus_variegatus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_undulatus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_noctivagus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_cinereus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_atrocapillus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_strigulosus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_casiquiare,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_duidae,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_ptaritepui,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Struthio_camelus,0,1,-0.006975613736424968,avoider,0.85,41.06,83500,-1.674401813,0.375,0.32
Rhea_pennata,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rhea_americana,0,0,NA,NA,NA,19.56,23000,NA,NA,NA
Dromaius_novaehollandiae,0,0,NA,NA,NA,29.92,31160,-1.547774705,NA,NA
Casuarius_unappendiculatus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Casuarius_bennetti,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Casuarius_casuarius,0,0,NA,NA,NA,37.66,44000,-0.903089987,NA,NA
Apteryx_mantelli,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Apteryx_australis,0,1,NA,NA,NA,11.3,2330,NA,NA,NA
Apteryx_haastii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Apteryx_owenii,0,0,NA,NA,NA,7.56,1243,NA,NA,NA
Dendrortyx_barbatus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Dendrortyx_macroura,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Dendrortyx_leucophrys,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Philortyx_fasciatus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Dactylortyx_thoracicus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtonyx_montezumae,0,0,NA,NA,NA,1.4,191,NA,NA,NA
Cyrtonyx_ocellatus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_guttatus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_hyperythrus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_balliviani,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_gujanensis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_melanotis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_erythrops,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_columbianus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_speciosus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_melanonotus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_stellatus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_atrifrons,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_capueira,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_dialeucos,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_leucolaemus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_strophium,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchortyx_cinctus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Oreortyx_pictus,0,1,NA,NA,-1.95,1.725,254,NA,NA,NA
Colinus_cristatus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Colinus_virginianus,0,1,-0.12177505692592083,avoider,-2.34,1.35,171.5,-0.909266381,0.4,0.21
Colinus_nigrogularis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Callipepla_californica,0,1,-0.12221763272424901,avoider,0.97,1.25,125.625,-1.037398835,0.4375,0.25
Callipepla_gambelii,0,1,-0.5693375975095314,avoider,0.12,1.33125,174.125,-0.90327848,0.333333333333333,0.29
Callipepla_squamata,0,0,NA,NA,0.19,NA,NA,-0.829303773,NA,NA
Callipepla_douglasii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ptilopachus_petrosus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Xenoperdix_udzungwensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_charltonii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_orientalis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_sumatrana,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_rolli,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_chloropus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_campbelli,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_ardens,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_rubrirostris,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_javanica,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_rufipectus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_mandellii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_torqueola,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_atrogularis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_brunneopectus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_hyperythra,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_davidi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_rufogularis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_gingica,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_crudigularis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_cambodiana,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Caloperdix_oculeus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rollulus_rouloul,0,0,NA,NA,NA,1.92,217,NA,NA,NA
Melanoperdix_niger,0,0,NA,NA,NA,1.98,260,NA,NA,NA
Rheinardia_ocellata,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Argusianus_argus,0,0,NA,NA,NA,5.88,1994,NA,NA,NA
Anurophasis_monorthonyx,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Coturnix_ypsilophora,0,1,NA,"NA",0.3,NA,NA,NA,0.375,0.21
Coturnix_chinensis,0,1,NA,NA,0.24,0.59,24.9,NA,NA,NA
Margaroperdix_madagascariensis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Coturnix_delegorguei,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Coturnix_coturnix,0,1,-0.0012214759166808697,"NA",-1.11,0.86,67.4,-1.309408307,0.375,0.16
Coturnix_japonica,0,1,NA,NA,-1.85,NA,NA,NA,NA,NA
Coturnix_pectoralis,0,1,NA,"NA",NA,0.94,90.5,NA,0.333333333333333,0.27
Coturnix_coromandelica,0,1,-0.004323971480054478,NA,NA,NA,NA,NA,NA,NA
Alectoris_melanocephala,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_barbara,0,1,NA,avoider,-2.74,NA,NA,NA,0.375,0.33
Alectoris_magna,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_graeca,0,0,NA,NA,-0.16,2.1,615,NA,NA,NA
Alectoris_philbyi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_chukar,0,0,-0.065550533386822707,NA,0.74,2.475,490.7625,-1.056904851,NA,NA
Alectoris_rufa,0,1,-9.995003330836028e-4,"NA",-1.55,2,483,-0.896250562,0.4,0.29
Francolinus_erckelii,0,0,NA,NA,0.89,NA,NA,NA,NA,NA
Francolinus_camerunensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_swierstrai,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_castaneicollis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_ochropectus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_squamatus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_rufopictus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_icterorhynchus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_jacksoni,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_bicalcaratus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_clappertoni,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_afer,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_leucoscepus,0,1,NA,NA,NA,3.32,245,NA,NA,NA
Francolinus_nobilis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_swainsonii,0,1,-0.009950330853167877,avoider,NA,3.8,605.5,NA,0.375,0.32
Francolinus_harwoodi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_natalensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_hildebrandti,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_adspersus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_capensis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_griseostriatus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_ahantensis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_hartlaubi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ammoperdix_heyi,0,0,NA,NA,NA,1.5,181,NA,NA,NA
Ammoperdix_griseogularis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Perdicula_argoondah,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Perdicula_erythrorhyncha,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Perdicula_asiatica,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Perdicula_manipurensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tetraogallus_caucasicus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tetraogallus_tibetanus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tetraogallus_himalayensis,0,0,NA,NA,NA,6.2,2428,NA,NA,NA
Tetraogallus_altaicus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tetraogallus_caspius,0,0,NA,NA,NA,NA,NA,NA,NA,NA
