SpecID,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,Species,Scientific,English,GS,Corneal.Diameter..mm.,Transverse.Diameter..mm.,Axial.Diameter..mm.,C.T,Source,Material,ScleroticRingOuterDiameter.mm,MuseumNumber,Notes
28,Struthioniformes,Struthionidae,Ostriches,2,BL3,Struthio_camelus,Struthio camelus,Ostrich,Struthio_camelus,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Rheiformes,Rheidae,Rheas,3,BL3,Rhea_americana,Rhea americana,Greater Rhea,Rhea_americana,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Rheiformes,Rheidae,Rheas,3,BL3,Rhea_pennata,Rhea pennata,Lesser Rhea,Rhea_pennata,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Casuariiformes,Casuariidae,Cassowaries,4,BL3,Casuarius_casuarius,Casuarius casuarius,Southern Cassowary,Casuarius_casuarius,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Casuariiformes,Casuariidae,Cassowaries,4,BL3,Casuarius_bennetti,Casuarius bennetti,Dwarf Cassowary,Casuarius_bennetti,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Casuariiformes,Casuariidae,Cassowaries,4,BL3,Casuarius_unappendiculatus,Casuarius unappendiculatus,Northern Cassowary,Casuarius_unappendiculatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Casuariiformes,Dromaiidae,Emus,5,BL3,Dromaius_novaehollandiae,Dromaius novaehollandiae,Emu,Dromaius_novaehollandiae,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Apterygiformes,Apterygidae,Kiwis,6,BL3,Apteryx_australis,Apteryx australis,Southern Brown Kiwi,Apteryx_australis,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Apterygiformes,Apterygidae,Kiwis,6,BL3,Apteryx_owenii,Apteryx owenii,Little Spotted Kiwi,Apteryx_owenii,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Apterygiformes,Apterygidae,Kiwis,6,BL3,Apteryx_haastii,Apteryx haastii,Great Spotted Kiwi,Apteryx_haastii,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamus_solitarius,Tinamus solitarius,Solitary Tinamou,Tinamus_solitarius,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamus_osgoodi,Tinamus osgoodi,Black Tinamou,Tinamus_osgoodi,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamus_guttatus,Tinamus guttatus,White-throated Tinamou,Tinamus_guttatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothocercus_bonapartei,Nothocercus bonapartei,Highland Tinamou,Nothocercus_bonapartei,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothocercus_julius,Nothocercus julius,Tawny-breasted Tinamou,Nothocercus_julius,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothocercus_nigrocapillus,Nothocercus nigrocapillus,Hooded Tinamou,Nothocercus_nigrocapillus,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_berlepschi,Crypturellus berlepschi,Berlepsch's Tinamou,Crypturellus_berlepschi,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_cinereus,Crypturellus cinereus,Cinereous Tinamou,Crypturellus_cinereus,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_ptaritepui,Crypturellus ptaritepui,Tepui Tinamou,Crypturellus_ptaritepui,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_obsoletus,Crypturellus obsoletus,Brown Tinamou,Crypturellus_obsoletus,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_undulatus,Crypturellus undulatus,Undulated Tinamou,Crypturellus_undulatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_transfasciatus,Crypturellus transfasciatus,Pale-browed Tinamou,Crypturellus_transfasciatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_strigulosus,Crypturellus strigulosus,Brazilian Tinamou,Crypturellus_strigulosus,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_boucardi,Crypturellus boucardi,Slaty-breasted Tinamou,Crypturellus_boucardi,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_kerriae,Crypturellus kerriae,Choco Tinamou,Crypturellus_kerriae,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_erythropus,Crypturellus erythropus,Red-legged Tinamou,Crypturellus_erythropus,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_duidae,Crypturellus duidae,Grey-legged Tinamou,Crypturellus_duidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_noctivagus,Crypturellus noctivagus,Yellow-legged Tinamou,Crypturellus_noctivagus,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_atrocapillus,Crypturellus atrocapillus,Black-capped Tinamou,Crypturellus_atrocapillus,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_variegatus,Crypturellus variegatus,Variegated Tinamou,Crypturellus_variegatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_brevirostris,Crypturellus brevirostris,Rusty Tinamou,Crypturellus_brevirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_bartletti,Crypturellus bartletti,Bartlett's Tinamou,Crypturellus_bartletti,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_parvirostris,Crypturellus parvirostris,Small-billed Tinamou,Crypturellus_parvirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_casiquiare,Crypturellus casiquiare,Barred Tinamou,Crypturellus_casiquiare,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta_taczanowskii,Nothoprocta taczanowskii,Taczanowski's Tinamou,Nothoprocta_taczanowskii,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta_ornata,Nothoprocta ornata,Ornate Tinamou,Nothoprocta_ornata,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta_perdicaria,Nothoprocta perdicaria,Chilean Tinamou,Nothoprocta_perdicaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta_curvirostris,Nothoprocta curvirostris,Curve-billed Tinamou,Nothoprocta_curvirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothura_chacoensis,Nothura chacoensis,Chaco Nothura,Nothura_chacoensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothura_minor,Nothura minor,Lesser Nothura,Nothura_minor,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothura_boraquira,Nothura boraquira,White-bellied Nothura,Nothura_boraquira,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,Tinamiformes,Tinamidae,Tinamous,1,BL3,Taoniscus_nanus,Taoniscus nanus,Dwarf Tinamou,Taoniscus_nanus,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamotis_pentlandii,Tinamotis pentlandii,Puna Tinamou,Tinamotis_pentlandii,NA,NA,NA,NA,NA,NA,NA,NA,NA
