IOCOrder,BLFamilyLatin,BLFamilyEnglish,Species,Scientific,English,CoastalSp,aveUAI
Passeriformes,Acanthisittidae,New Zealand wrens,Acanthisitta_chloris,Acanthisitta chloris,Rifleman,,0.004510258
Passeriformes,Acanthizidae,Thornbills and gerygones,Hylacola_cauta,Hylacola cauta,Shy Heathwren,,0.004354357
Passeriformes,Acanthizidae,Thornbills and gerygones,Aphelocephala_leucopsis,Aphelocephala leucopsis,Southern Whiteface,,0.012440413
Passeriformes,Acanthizidae,Thornbills and gerygones,Mohoua_novaeseelandiae,Mohoua novaeseelandiae,Pipipi,,0.017744031
Passeriformes,Acanthizidae,Thornbills and gerygones,Acanthiza_uropygialis,Acanthiza uropygialis,Chestnut-rumped Thornbill,,0.036534119
Passeriformes,Acanthizidae,Thornbills and gerygones,Mohoua_albicilla,Mohoua albicilla,Whitehead,,0.045893494
Passeriformes,Acanthizidae,Thornbills and gerygones,Acanthornis_magna,Acanthornis magna,Scrubtit,,0.057599539
Passeriformes,Acanthizidae,Thornbills and gerygones,Acanthiza_ewingii,Acanthiza ewingii,Tasmanian Thornbill,,0.112394264
Passeriformes,Acanthizidae,Thornbills and gerygones,Pycnoptilus_floccosus,Pycnoptilus floccosus,Pilotbird,,0.153210386
Passeriformes,Acanthizidae,Thornbills and gerygones,Sericornis_humilis,Sericornis humilis,Tasmanian Scrubwren,,0.159048669
Passeriformes,Acanthizidae,Thornbills and gerygones,Calamanthus_fuliginosus,Calamanthus fuliginosus,Striated Fieldwren,,0.169852696
Passeriformes,Acanthizidae,Thornbills and gerygones,Origma_solitaria,Origma solitaria,Rockwarbler,,0.214412238
Passeriformes,Acanthizidae,Thornbills and gerygones,Acanthiza_reguloides,Acanthiza reguloides,Buff-rumped Thornbill,,0.226451793
Passeriformes,Acanthizidae,Thornbills and gerygones,Hylacola_pyrrhopygia,Hylacola pyrrhopygia,Chestnut-rumped Heathwren,,0.238923744
Passeriformes,Acanthizidae,Thornbills and gerygones,Sericornis_magnirostra,Sericornis magnirostra,Large-billed Scrubwren,,0.272600299
Passeriformes,Acanthizidae,Thornbills and gerygones,Chthonicola_sagittatus,Chthonicola sagittatus,Speckled Warbler,,0.319714766
Passeriformes,Acanthizidae,Thornbills and gerygones,Acanthiza_inornata,Acanthiza inornata,Western Thornbill,,0.361725545
Passeriformes,Acanthizidae,Thornbills and gerygones,Acanthiza_lineata,Acanthiza lineata,Striated Thornbill,,0.375584079
Passeriformes,Acanthizidae,Thornbills and gerygones,Sericornis_citreogularis,Sericornis citreogularis,Yellow-throated Scrubwren,,0.418009302
Passeriformes,Acanthizidae,Thornbills and gerygones,Gerygone_mouki,Gerygone mouki,Brown Gerygone,,0.444133795
Passeriformes,Acanthizidae,Thornbills and gerygones,Acanthiza_apicalis,Acanthiza apicalis,Inland Thornbill,,0.663054691
Passeriformes,Acanthizidae,Thornbills and gerygones,Smicrornis_brevirostris,Smicrornis brevirostris,Weebill,,0.704174183
Passeriformes,Acanthizidae,Thornbills and gerygones,Gerygone_olivacea,Gerygone olivacea,White-throated Gerygone,,0.719330455
Passeriformes,Acanthizidae,Thornbills and gerygones,Acanthiza_pusilla,Acanthiza pusilla,Brown Thornbill,,0.782923823
