Family_all,Coastal,Notes,Species,IOCOrder,English,CoastalSp
Accipitridae,No,INVESTIGATE,Accipiter_novaehollandiae,NA,Gray Goshawk,NA
Accipitridae,No,INVESTIGATE,Buteo_nitidus,NA,Gray-lined Hawk,NA
Accipitridae,No,INVESTIGATE,Accipiter_bicolor,NA,Bicolored Hawk,NA
Accipitridae,No,INVESTIGATE,Accipiter_ovampensis,NA,Ovambo Sparrowhawk,NA
Accipitridae,No,INVESTIGATE,Accipiter_rufiventris,NA,Rufous-breasted Sparrowhawk ,NA
Accipitridae,No,"eat frogs, but no mention of coastal /brackish water ",Accipiter_soloensis,NA,Chinese Sparrowhawk ,NA
Accipitridae,No,occasionally eat dead fish on wetland shore ,Aquila_adalberti,NA,Spanish Eagle,NA
Accipitridae,No,"may predate on waterbirds (no mention of coastal, but mention of lakes) ",Aquila_heliaca,NA,Imperial Eagle ,NA
Accipitridae,No,INVESTIGATE,Gyps_fulvus,NA,Eurasian Griffin,NA
Accipitridae,No,INVESTIGATE,Gyps_rueppellii,NA,Rüppell's Griffon ,NA
Accipitridae,No,INVESTIGATE,Leptodon_cayanensis,NA,Gray-headed Kite ,NA
Accipitridae,No,INVESTIGATE,Leucopternis_occidentalis,NA,Gray-backed Hawk,NA
Accipitridae,No,INVESTIGATE,Stephanoaetus_coronatus,NA,Crowned Eagle,NA
Falconidae,No,"one photo of foraging on beach, but no mention of coastal habitat ",Caracara_plancus,NA,Crested Caracara,NA
Falconidae,No,INVESTIGATE,Falco_newtoni,NA,Malagasy Kestrel,NA
Accipitridae,No,INVESTIGATE,Buteo_albicaudatus,Accipitriformes,White-tailed Hawk,No
Accipitridae,No,INVESTIGATE,Accipiter_cooperii,Accipitriformes,Cooper's Hawk,No
Accipitridae,No,INVESTIGATE,Buteo_lineatus,Accipitriformes,Red-shouldered Hawk,No
Accipitridae,No,INVESTIGATE,Buteo_platypterus,Accipitriformes,Broad-winged Hawk,No
Accipitridae,No,INVESTIGATE,Buteo_swainsoni,Accipitriformes,Swainson's Hawk,No
Accipitridae,No,INVESTIGATE,Buteo_albonotatus,Accipitriformes,Zone-tailed Hawk,No
Accipitridae,No,INVESTIGATE,Buteo_regalis,Accipitriformes,Ferruginous Hawk,No
Falconidae,No,INVESTIGATE,Falco_sparverius,Falconiformes,American Kestrel,No
Falconidae,No,INVESTIGATE,Falco_mexicanus,Falconiformes,Prairie Falcon,No
Accipitridae,No,INVESTIGATE,Accipiter_badius,Accipitriformes,Shikra,No
Accipitridae,No,INVESTIGATE,Accipiter_cirrocephalus,Accipitriformes,Collared Sparrowhawk,No
Accipitridae,No,INVESTIGATE,Accipiter_fasciatus,Accipitriformes,Brown Goshawk,No
Accipitridae,No,INVESTIGATE,Accipiter_striatus,Accipitriformes,Sharp-shinned Hawk,No
Accipitridae,No,INVESTIGATE,Buteo_buteo,Accipitriformes,Common Buzzard,No
Falconidae,No,INVESTIGATE,Falco_berigora,Falconiformes,Brown Falcon,No
Falconidae,No,INVESTIGATE,Falco_naumanni,Falconiformes,Lesser Kestrel,No
Cathartidae,No,INVESTIGATE,Cathartes_aura,Accipitriformes,Turkey Vulture,No
Accipitridae,No,INVESTIGATE,Ictinia_mississippiensis,Accipitriformes,Mississippi Kite,No
Accipitridae,No,INVESTIGATE,Accipiter_brevipes,Accipitriformes,Levant Sparrowhawk,No
Accipitridae,No,INVESTIGATE,Accipiter_gentilis,Accipitriformes,Northern Goshawk,No
Accipitridae,No,INVESTIGATE,Accipiter_gularis,Accipitriformes,Japanese Sparrowhawk,No
Accipitridae,No,INVESTIGATE,Accipiter_melanoleucus,Accipitriformes,Black Goshawk,No
Accipitridae,No,INVESTIGATE,Accipiter_nisus,Accipitriformes,Eurasian Sparrowhawk,No
Accipitridae,No,INVESTIGATE,Accipiter_trivirgatus,Accipitriformes,Crested Goshawk,No
Accipitridae,No,INVESTIGATE,Aegypius_monachus,Accipitriformes,Cinereous Vulture,No
Accipitridae,No,INVESTIGATE,Aquila_audax,Accipitriformes,Wedge-tailed Eagle,No
Accipitridae,No,INVESTIGATE,Aquila_fasciatus,Accipitriformes,Bonelli's Eagle,No
Accipitridae,No,INVESTIGATE,Aquila_hastata,Accipitriformes,Indian Spotted Eagle,No
Accipitridae,No,INVESTIGATE,Aquila_nipalensis,Accipitriformes,Steppe Eagle,No
Accipitridae,No,INVESTIGATE,Aquila_pomarina,Accipitriformes,Lesser Spotted Eagle,No
Accipitridae,No,INVESTIGATE,Aquila_rapax,Accipitriformes,Tawny Eagle,No
Accipitridae,No,INVESTIGATE,Aquila_verreauxii,Accipitriformes,Verreaux's Eagle,No
Accipitridae,No,INVESTIGATE,Aquila_wahlbergi,Accipitriformes,Wahlberg's Eagle,No
Accipitridae,No,INVESTIGATE,Butastur_teesa,Accipitriformes,White-eyed Buzzard,No
Accipitridae,No,INVESTIGATE,Buteo_albigula,Accipitriformes,White-throated Hawk,No
Accipitridae,No,INVESTIGATE,Buteo_augur,Accipitriformes,Augur Buzzard,No
Accipitridae,No,INVESTIGATE,Buteo_brachypterus,Accipitriformes,Madagascar Buzzard,No
Accipitridae,No,INVESTIGATE,Buteo_brachyurus,Accipitriformes,Short-tailed Hawk,No
Accipitridae,No,INVESTIGATE,Buteo_buteo,Accipitriformes,Common Buzzard,No
Accipitridae,No,INVESTIGATE,Buteo_magnirostris,Accipitriformes,Roadside Hawk,No
Accipitridae,No,INVESTIGATE,Buteo_ridgwayi,Accipitriformes,Ridgway's Hawk,No
Accipitridae,No,INVESTIGATE,Buteo_rufinus,Accipitriformes,Long-legged Buzzard,No
Accipitridae,No,INVESTIGATE,Buteo_rufofuscus,Accipitriformes,Jackal Buzzard,No
Accipitridae,No,INVESTIGATE,Circaetus_gallicus,Accipitriformes,Short-toed Snake-eagle,No
Accipitridae,No,INVESTIGATE,Circus_buffoni,Accipitriformes,Long-winged Harrier,No
Accipitridae,No,INVESTIGATE,Circus_cinereus,Accipitriformes,Cinereous Harrier,No
Accipitridae,No,INVESTIGATE,Circus_macrourus,Accipitriformes,Pallid Harrier,No
Accipitridae,No,INVESTIGATE,Circus_melanoleucos,Accipitriformes,Pied Harrier,No
Accipitridae,No,INVESTIGATE,Circus_pygargus,Accipitriformes,Montagu's Harrier,No
Accipitridae,No,INVESTIGATE,Elanus_axillaris,Accipitriformes,Black-shouldered Kite,No
Accipitridae,No,INVESTIGATE,Elanus_caeruleus,Accipitriformes,Black-winged Kite,No
Accipitridae,No,INVESTIGATE,Elanus_leucurus,Accipitriformes,White-tailed Kite,No
Accipitridae,No,INVESTIGATE,Gampsonyx_swainsonii,Accipitriformes,Pearl Kite,No
Accipitridae,No,INVESTIGATE,Geranoaetus_melanoleucus,Accipitriformes,Black-chested Buzzard-eagle,No
Accipitridae,No,INVESTIGATE,Harpagus_bidentatus,Accipitriformes,Double-toothed Kite,No
Accipitridae,No,INVESTIGATE,Hieraaetus_morphnoides,Accipitriformes,Little Eagle,No
