,.
1,Taiga Bean-Goose
2,Barnacle Goose
3,Upland Goose
4,Wood Duck
5,Puna Teal
6,Giant Wood-Rail
7,Russet-naped Wood-Rail
8,Gray-cowled Wood-Rail
9,Slaty-breasted Wood-Rail
10,Plain Bush-hen
11,Mountain Plover
12,Upland Sandpiper
13,Eurasian Woodcock
14,American Woodcock
15,Wood Sandpiper
16,Wood Stork
17,Rufescent Tiger-Heron
18,Fasciated Tiger-Heron
19,Bare-throated Tiger-Heron
20,Cattle Egret
21,Indian Pond-Heron
22,Chinese Pond-Heron
23,Javan Pond-Heron
24,Malagasy Pond-Heron
25,Puna Ibis
26,European Honey-buzzard
27,Oriental Honey-buzzard
28,Mountain Hawk-Eagle
29,Steppe Eagle
30,Savanna Hawk
31,Woodland Kingfisher
32,Forest Kingfisher
33,Collared Forest-Falcon
34,Slaty-backed Forest-Falcon
35,Barred Forest-Falcon
36,Bat Falcon
37,Prairie Falcon
