"","."
"1","Taiga Bean-Goose"
"2","Barnacle Goose"
"3","Upland Goose"
"4","Plain Bush-hen"
"5","Mountain Plover"
"6","Upland Sandpiper"
"7","Rufescent Tiger-Heron"
"8","Fasciated Tiger-Heron"
"9","Bare-throated Tiger-Heron"
"10","Cattle Egret"
"11","Indian Pond-Heron"
"12","Chinese Pond-Heron"
"13","Javan Pond-Heron"
"14","Malagasy Pond-Heron"
"15","European Honey-buzzard"
"16","Oriental Honey-buzzard"
"17","Mountain Hawk-Eagle"
"18","Steppe Eagle"
"19","Savanna Hawk"
"20","Forest Kingfisher"
"21","Collared Forest-Falcon"
"22","Slaty-backed Forest-Falcon"
"23","Barred Forest-Falcon"
"24","Bat Falcon"
"25","Prairie Falcon"
