"","MUTIscore","SciName_MUTI","CommonName_MUTI","Species_eBird","Species_Jetz","Family_Jetz","CommonName_UAI","aveUAI","Species_BirdLife","Species_UN","Urban","family.MUTI","Family_all","Species","English","Coastal"
"1",-1.095003472,"Spatula discors","Blue-winged Teal","Spatula discors","Anas discors","Anatidae","Blue-winged Teal",1.581460779,"Spatula discors","Anas discors","N","Anatidae","Anatidae","Anas_discors",NA,"Yes"
"2",0.291610958,"Spatula cyanoptera","Cinnamon Teal","Spatula cyanoptera","Anas cyanoptera","Anatidae","Cinnamon Teal",1.389446169,"Spatula cyanoptera","Anas cyanoptera","N","Anatidae","Anatidae","Anas_cyanoptera",NA,"Yes"
"3",-1.273463061,"Spatula clypeata","Northern Shoveler","Spatula clypeata","Anas clypeata","Anatidae","Northern Shoveler",1.636677209,"Spatula clypeata","Anas clypeata","N","Anatidae","Anatidae","Anas_clypeata",NA,"Yes"
"4",-0.813712493,"Mareca strepera","Gadwall","Mareca strepera","Anas strepera","Anatidae","Gadwall",1.608340407,"Mareca strepera","Anas strepera","N","Anatidae","Anatidae","Anas_strepera",NA,"Yes"
"5",-1.162931818,"Mareca americana","American Wigeon","Mareca americana","Anas americana","Anatidae","American Wigeon",1.715832214,"Mareca americana","Anas americana","N","Anatidae","Anatidae","Anas_americana",NA,"Yes"
"6",2.738340714,"Rallus obsoletus","Ridgway's Rail","Rallus obsoletus","Rallus longirostris","Rallidae","Ridgway's Rail",1.593038255,"Rallus obsoletus","Rallus longirostris","N","Rallidae","Rallidae","Rallus_longirostris",NA,"Yes"
"7",-0.585008904,"Rallus crepitans","Clapper Rail","Rallus crepitans","Rallus longirostris","Rallidae","Clapper Rail",1.364332169,"Rallus crepitans","Rallus longirostris","N","Rallidae","Rallidae","Rallus_longirostris",NA,"Yes"
"8",-1.210054524,"Antigone canadensis","Sandhill Crane","Antigone canadensis","Grus canadensis","Gruidae","Sandhill Crane",0.744852138,"Antigone canadensis","Grus canadensis","U","Gruidae","Gruidae","Grus_canadensis",NA,"Yes"
"9",-1.271905272,"Chroicocephalus philadelphia","Bonaparte's Gull","Chroicocephalus philadelphia","Larus philadelphia","Laridae","Bonaparte's Gull",1.545840518,"Larus philadelphia","Larus philadelphia","N","Laridae","Laridae","Larus_philadelphia",NA,"Yes"
"10",0.814382933,"Leucophaeus atricilla","Laughing Gull","Leucophaeus atricilla","Larus atricilla","Laridae","Laughing Gull",1.832256412,"Larus atricilla","Larus atricilla","N","Laridae","Laridae","Larus_atricilla",NA,"Yes"
"11",-0.134891135,"Leucophaeus pipixcan","Franklin's Gull","Leucophaeus pipixcan","Larus pipixcan","Laridae","Franklin's Gull",1.509044806,"Larus pipixcan","Larus pipixcan","N","Laridae","Laridae","Larus_pipixcan",NA,"Yes"
"12",0.813419136,"Sternula antillarum","Least Tern","Sternula antillarum","Sterna antillarum","Laridae","Least Tern",1.781447629,"Sternula antillarum","Sterna antillarum","U","Laridae","Laridae","Sterna_antillarum",NA,"Yes"
"13",1.754180696,"Hydroprogne caspia","Caspian Tern","Hydroprogne caspia","Sterna caspia","Laridae","Caspian Tern",1.369620522,"Hydroprogne caspia","Sterna caspia","N","Laridae","Laridae","Sterna_caspia",NA,"Yes"
