,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,X,Family_English,Coastal,Notes
1,Dendrocygna eytoni,Dendrocygna eytoni,Dendrocygna eytoni,"Anatidae (Ducks, Geese, and Waterfowl)",Plumed Whistling-Duck,1.123033999,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
2,Dendrocygna viduata,Dendrocygna viduata,Dendrocygna viduata,"Anatidae (Ducks, Geese, and Waterfowl)",White-faced Whistling-Duck,1.723797592,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
3,Dendrocygna autumnalis,Dendrocygna autumnalis,Dendrocygna autumnalis,"Anatidae (Ducks, Geese, and Waterfowl)",Black-bellied Whistling-Duck,1.81844448,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
4,Dendrocygna arborea,Dendrocygna arborea,Dendrocygna arborea,"Anatidae (Ducks, Geese, and Waterfowl)",West Indian Whistling-Duck,2.525220171,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
5,Dendrocygna bicolor,Dendrocygna bicolor,Dendrocygna bicolor,"Anatidae (Ducks, Geese, and Waterfowl)",Fulvous Whistling-Duck,1.758863086,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
6,Dendrocygna arcuata,Dendrocygna arcuata,Dendrocygna arcuata,"Anatidae (Ducks, Geese, and Waterfowl)",Wandering Whistling-Duck,1.455629304,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
7,Dendrocygna javanica,Dendrocygna javanica,Dendrocygna javanica,"Anatidae (Ducks, Geese, and Waterfowl)",Lesser Whistling-Duck,1.372706426,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
8,Thalassornis leuconotus,Thalassornis leuconotus,Thalassornis leuconotus,"Anatidae (Ducks, Geese, and Waterfowl)",White-backed Duck,1.361765305,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
9,Anser indicus,Anser indicus,Anser indicus,"Anatidae (Ducks, Geese, and Waterfowl)",Bar-headed Goose,0.857538816,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
10,Chen caerulescens,Anser caerulescens,Anser caerulescens,"Anatidae (Ducks, Geese, and Waterfowl)",Snow Goose,1.612144126,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
11,Chen rossii,Anser rossii,Anser rossii,"Anatidae (Ducks, Geese, and Waterfowl)",Ross's Goose,1.688490277,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
12,Anser anser,Anser anser,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Graylag Goose,1.409726721,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
13,Anser cygnoides,Anser cygnoides,Anser cygnoid,"Anatidae (Ducks, Geese, and Waterfowl)",Swan Goose,2.778898076,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
14,Anser albifrons,Anser albifrons,Anser albifrons,"Anatidae (Ducks, Geese, and Waterfowl)",Greater White-fronted Goose,1.422496831,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
15,Anser fabalis,Anser fabalis,Anser fabalis,"Anatidae (Ducks, Geese, and Waterfowl)",Taiga Bean-Goose,1.708669296,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",No,freshwater lakes 
16,Anser brachyrhynchus,Anser brachyrhynchus,Anser brachyrhynchus,"Anatidae (Ducks, Geese, and Waterfowl)",Pink-footed Goose,1.670812293,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
17,Branta bernicla,Branta bernicla,Branta bernicla,"Anatidae (Ducks, Geese, and Waterfowl)",Brant,1.720846385,NA,NA,Branta bernicla,N,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
18,Branta leucopsis,Branta leucopsis,Branta leucopsis,"Anatidae (Ducks, Geese, and Waterfowl)",Barnacle Goose,1.359123395,NA,NA,Branta leucopsis,N,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
19,Branta hutchinsii,Branta hutchinsii,Branta hutchinsii,"Anatidae (Ducks, Geese, and Waterfowl)",Cackling Goose,2.050304961,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
20,Branta canadensis,Branta canadensis,Branta canadensis,"Anatidae (Ducks, Geese, and Waterfowl)",Canada Goose,2.040348807,Branta canadensis,1.477478833,Branta canadensis,U,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
21,Branta sandvicensis,Branta sandvicensis,Branta sandvicensis,"Anatidae (Ducks, Geese, and Waterfowl)",Hawaiian Goose,0.353057482,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
22,Cereopsis novaehollandiae,Cereopsis novaehollandiae,Cereopsis novaehollandiae,"Anatidae (Ducks, Geese, and Waterfowl)",Cape Barren Goose,0.348586312,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
23,Stictonetta naevosa,Stictonetta naevosa,Stictonetta naevosa,"Anatidae (Ducks, Geese, and Waterfowl)",Freckled Duck,1.496760553,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
24,Cyanochen cyanoptera,Cyanochen cyanoptera,Cyanochen cyanoptera,"Anatidae (Ducks, Geese, and Waterfowl)",Blue-winged Goose,0.313648798,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
25,Cygnus olor,Cygnus olor,Cygnus olor,"Anatidae (Ducks, Geese, and Waterfowl)",Mute Swan,1.717957775,Cygnus olor,3.131330644,Cygnus olor,U,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
26,Cygnus atratus,Cygnus atratus,Cygnus atratus,"Anatidae (Ducks, Geese, and Waterfowl)",Black Swan,1.193373139,NA,NA,Cygnus atratus,U,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
27,Cygnus melancoryphus,Cygnus melancoryphus,Cygnus melancoryphus,"Anatidae (Ducks, Geese, and Waterfowl)",Black-necked Swan,1.453858895,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
28,Cygnus buccinator,Cygnus buccinator,Cygnus buccinator,"Anatidae (Ducks, Geese, and Waterfowl)",Trumpeter Swan,1.448204583,Cygnus buccinator,-0.937337458,Cygnus buccinator,N,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
29,Cygnus columbianus,Cygnus columbianus,Cygnus columbianus,"Anatidae (Ducks, Geese, and Waterfowl)",Tundra Swan,1.133051755,NA,NA,Cygnus columbianus,N,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
30,Cygnus cygnus,Cygnus cygnus,Cygnus cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",Whooper Swan,1.090581948,NA,NA,Cygnus cygnus,N,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
31,Coscoroba coscoroba,Coscoroba coscoroba,Coscoroba coscoroba,"Anatidae (Ducks, Geese, and Waterfowl)",Coscoroba Swan,1.167379347,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
32,Sarkidiornis melanotos,Sarkidiornis melanotos,Sarkidiornis melanotos,"Anatidae (Ducks, Geese, and Waterfowl)",Knob-billed Duck,1.325744697,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
33,Sarkidiornis melanotos,Sarkidiornis sylvicola,Sarkidiornis sylvicola,"Anatidae (Ducks, Geese, and Waterfowl)",Comb Duck,0.227253726,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
34,Chloephaga melanoptera,Oressochen melanopterus,Chloephaga melanoptera,"Anatidae (Ducks, Geese, and Waterfowl)",Andean Goose,0.246674384,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
35,Chloephaga picta,Chloephaga picta,Chloephaga picta,"Anatidae (Ducks, Geese, and Waterfowl)",Upland Goose,0.617243274,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,Coastal areas in winter - one subspecies more coastal than other(s)
36,Chloephaga hybrida,Chloephaga hybrida,Chloephaga hybrida,"Anatidae (Ducks, Geese, and Waterfowl)",Kelp Goose,0.299246026,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
37,Chloephaga poliocephala,Chloephaga poliocephala,Chloephaga poliocephala,"Anatidae (Ducks, Geese, and Waterfowl)",Ashy-headed Goose,1.259010221,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
38,Chloephaga rubidiceps,Chloephaga rubidiceps,Chloephaga rubidiceps,"Anatidae (Ducks, Geese, and Waterfowl)",Ruddy-headed Goose,0.885944113,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
39,Tadorna radjah,Radjah radjah,Radjah radjah,"Anatidae (Ducks, Geese, and Waterfowl)",Radjah Shelduck,0.840510308,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
40,Alopochen aegyptiaca,Alopochen aegyptiaca,Alopochen aegyptiaca,"Anatidae (Ducks, Geese, and Waterfowl)",Egyptian Goose,1.930305236,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
41,Tadorna ferruginea,Tadorna ferruginea,Tadorna ferruginea,"Anatidae (Ducks, Geese, and Waterfowl)",Ruddy Shelduck,1.694934147,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
42,Tadorna cana,Tadorna cana,Tadorna cana,"Anatidae (Ducks, Geese, and Waterfowl)",South African Shelduck,1.290385297,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
43,Tadorna tadornoides,Tadorna tadornoides,Tadorna tadornoides,"Anatidae (Ducks, Geese, and Waterfowl)",Australian Shelduck,1.003822003,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
44,Tadorna variegata,Tadorna variegata,Tadorna variegata,"Anatidae (Ducks, Geese, and Waterfowl)",Paradise Shelduck,0.887279352,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
45,Tadorna tadorna,Tadorna tadorna,Tadorna tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",Common Shelduck,1.478695686,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
46,Plectropterus gambensis,Plectropterus gambensis,Plectropterus gambensis,"Anatidae (Ducks, Geese, and Waterfowl)",Spur-winged Goose,1.293681213,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
47,Tachyeres patachonicus,Tachyeres patachonicus,Tachyeres patachonicus,"Anatidae (Ducks, Geese, and Waterfowl)",Flying Steamer-Duck,1.241020607,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
48,Tachyeres pteneres,Tachyeres pteneres,Tachyeres pteneres,"Anatidae (Ducks, Geese, and Waterfowl)",Flightless Steamer-Duck,0.496596764,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
49,Lophonetta specularioides,Lophonetta specularioides,Lophonetta specularioides,"Anatidae (Ducks, Geese, and Waterfowl)",Crested Duck,0.485419234,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
50,Speculanas specularis,Speculanas specularis,Speculanas specularis,"Anatidae (Ducks, Geese, and Waterfowl)",Spectacled Duck,0.399711877,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
51,Cairina moschata,Cairina moschata,Cairina moschata,"Anatidae (Ducks, Geese, and Waterfowl)",Muscovy Duck,1.542396515,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
52,Nettapus pulchellus,Nettapus pulchellus,Nettapus pulchellus,"Anatidae (Ducks, Geese, and Waterfowl)",Green Pygmy-Goose,1.396210761,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
53,Nettapus coromandelianus,Nettapus coromandelianus,Nettapus coromandelianus,"Anatidae (Ducks, Geese, and Waterfowl)",Cotton Pygmy-Goose,1.29839131,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
54,Callonetta leucophrys,Callonetta leucophrys,Callonetta leucophrys,"Anatidae (Ducks, Geese, and Waterfowl)",Ringed Teal,1.810459088,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
55,Aix sponsa,Aix sponsa,Aix sponsa,"Anatidae (Ducks, Geese, and Waterfowl)",Wood Duck,1.951865355,Aix sponsa,1.743509213,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",No,freshwater 
56,Aix galericulata,Aix galericulata,Aix galericulata,"Anatidae (Ducks, Geese, and Waterfowl)",Mandarin Duck,2.590875574,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
57,Chenonetta jubata,Chenonetta jubata,Chenonetta jubata,"Anatidae (Ducks, Geese, and Waterfowl)",Maned Duck,1.56996267,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
58,Amazonetta brasiliensis,Amazonetta brasiliensis,Amazonetta brasiliensis,"Anatidae (Ducks, Geese, and Waterfowl)",Brazilian Teal,1.882545518,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
59,Merganetta armata,Merganetta armata,Merganetta armata,"Anatidae (Ducks, Geese, and Waterfowl)",Torrent Duck,0.350282191,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
60,Anas querquedula,Spatula querquedula,Spatula querquedula,"Anatidae (Ducks, Geese, and Waterfowl)",Garganey,1.381836045,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
