,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,Family_English,Coastal,Notes
1,Gampsonyx swainsonii,Gampsonyx swainsonii,Gampsonyx swainsonii,"Accipitridae (Hawks, Eagles, and Kites)",Pearl Kite,1.47324529,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,dry savanna and woodland
2,Elanus caeruleus,Elanus caeruleus,Elanus caeruleus,"Accipitridae (Hawks, Eagles, and Kites)",Black-winged Kite,1.367172806,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,savanna and arid steppes
3,Elanus axillaris,Elanus axillaris,Elanus axillaris,"Accipitridae (Hawks, Eagles, and Kites)",Black-shouldered Kite,1.365394618,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,coastal sand dunes
4,Elanus leucurus,Elanus leucurus,Elanus leucurus,"Accipitridae (Hawks, Eagles, and Kites)",White-tailed Kite,1.991073589,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,grassland
5,Polyboroides typus,Polyboroides typus,Polyboroides typus,"Accipitridae (Hawks, Eagles, and Kites)",African Harrier-Hawk,1.448751249,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,forest
6,Chondrohierax uncinatus,Chondrohierax uncinatus,Chondrohierax uncinatus,"Accipitridae (Hawks, Eagles, and Kites)",Hook-billed Kite,1.552151596,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,coastal mangroves
7,Leptodon cayanensis,Leptodon cayanensis,Leptodon cayanensis,"Accipitridae (Hawks, Eagles, and Kites)",Gray-headed Kite,0.969572046,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
8,Elanoides forficatus,Elanoides forficatus,Elanoides forficatus,"Accipitridae (Hawks, Eagles, and Kites)",Swallow-tailed Kite,0.815307594,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,coastal plains
9,Lophoictinia isura,Lophoictinia isura,Lophoictinia isura,"Accipitridae (Hawks, Eagles, and Kites)",Square-tailed Kite,0.906312185,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
10,Aviceda jerdoni,Aviceda jerdoni,Aviceda jerdoni,"Accipitridae (Hawks, Eagles, and Kites)",Jerdon's Baza,3.713046242,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,coastal swamp forest
11,Aviceda subcristata,Aviceda subcristata,Aviceda subcristata,"Accipitridae (Hawks, Eagles, and Kites)",Pacific Baza,1.387799132,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,"mangroves, almost always by coast"
12,Aviceda leuphotes,Aviceda leuphotes,Aviceda leuphotes,"Accipitridae (Hawks, Eagles, and Kites)",Black Baza,2.55186238,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,mangroves  
13,Aegypius monachus,Aegypius monachus,Aegypius monachus,"Accipitridae (Hawks, Eagles, and Kites)",Cinereous Vulture,1.417262379,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
14,Necrosyrtes monachus,Necrosyrtes monachus,Necrosyrtes monachus,"Accipitridae (Hawks, Eagles, and Kites)",Hooded Vulture,1.506793588,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,coastal areas
15,Gyps africanus,Gyps africanus,Gyps africanus,"Accipitridae (Hawks, Eagles, and Kites)",White-backed Vulture,1.140660353,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
16,Gyps rueppellii,Gyps rueppelli,Gyps rueppelli,"Accipitridae (Hawks, Eagles, and Kites)",Rüppell's Griffon,0.660966568,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
17,Gyps fulvus,Gyps fulvus,Gyps fulvus,"Accipitridae (Hawks, Eagles, and Kites)",Eurasian Griffon,0.925677897,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
18,Spilornis elgini,Spilornis elgini,Spilornis elgini,"Accipitridae (Hawks, Eagles, and Kites)",Andaman Serpent-Eagle,0.152434534,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,mostly inland
19,Circaetus gallicus,Circaetus gallicus,Circaetus gallicus,"Accipitridae (Hawks, Eagles, and Kites)",Short-toed Snake-Eagle,1.171357268,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,mangroves
20,Stephanoaetus coronatus,Stephanoaetus coronatus,Stephanoaetus coronatus,"Accipitridae (Hawks, Eagles, and Kites)",Crowned Eagle,1.372427906,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
21,Nisaetus alboniger,Nisaetus alboniger,Nisaetus alboniger,"Accipitridae (Hawks, Eagles, and Kites)",Blyth's Hawk-Eagle,0.071112097,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,higher elevation
