"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban","Family_Sci","Family_English","Coastal","Notes"
"1","Branta canadensis","Branta canadensis","Branta canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Canada Goose",2.04034880660606,"Branta canadensis",1.477478833,"Branta canadensis",1,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"2","Cygnus olor","Cygnus olor","Cygnus olor","Anatidae (Ducks, Geese, and Waterfowl)","Mute Swan",1.71795777548148,"Cygnus olor",3.131330644,"Cygnus olor",1,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"3","Cygnus buccinator","Cygnus buccinator","Cygnus buccinator","Anatidae (Ducks, Geese, and Waterfowl)","Trumpeter Swan",1.448204583375,"Cygnus buccinator",-0.937337458,"Cygnus buccinator",0,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"4","Anas discors","Spatula discors","Spatula discors","Anatidae (Ducks, Geese, and Waterfowl)","Blue-winged Teal",1.58146077876923,"Spatula discors",-1.095003472,"Anas discors",0,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"5","Anas cyanoptera","Spatula cyanoptera","Spatula cyanoptera","Anatidae (Ducks, Geese, and Waterfowl)","Cinnamon Teal",1.38944616913043,"Spatula cyanoptera",0.291610958,"Anas cyanoptera",0,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"6","Anas clypeata","Spatula clypeata","Spatula clypeata","Anatidae (Ducks, Geese, and Waterfowl)","Northern Shoveler",1.63667720925373,"Spatula clypeata",-1.273463061,"Anas clypeata",0,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"7","Anas strepera","Mareca strepera","Mareca strepera","Anatidae (Ducks, Geese, and Waterfowl)","Gadwall",1.60834040701818,"Mareca strepera",-0.813712493,"Anas strepera",0,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"8","Anas americana","Mareca americana","Mareca americana","Anatidae (Ducks, Geese, and Waterfowl)","American Wigeon",1.71583221410345,"Mareca americana",-1.162931818,"Anas americana",0,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"9","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","Anatidae (Ducks, Geese, and Waterfowl)","Mallard",2.02728985370968,"Anas platyrhynchos",1.830146203,"Anas platyrhynchos",1,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"10","Anas rubripes","Anas rubripes","Anas rubripes","Anatidae (Ducks, Geese, and Waterfowl)","American Black Duck",2.08335016022222,"Anas rubripes",0.251627341,"Anas rubripes",0,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"11","Anas acuta","Anas acuta","Anas acuta","Anatidae (Ducks, Geese, and Waterfowl)","Northern Pintail",1.45530456862264,"Anas acuta",-1.631365837,"Anas acuta",0,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"12","Anas crecca","Anas crecca","Anas crecca","Anatidae (Ducks, Geese, and Waterfowl)","Green-winged Teal",1.56755624963077,"Anas crecca",-1.499926389,"Anas crecca",0,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"13","Rallus elegans","Rallus elegans","Rallus elegans","Rallidae (Rails, Gallinules, and Coots)","King Rail",0.782483041,"Rallus elegans",-0.875336956,"Rallus elegans",0,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"14","Rallus limicola","Rallus limicola","Rallus limicola","Rallidae (Rails, Gallinules, and Coots)","Virginia Rail",1.43235217594118,"Rallus limicola",1.764891207,"Rallus limicola",0,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"15","Fulica americana","Fulica americana","Fulica americana","Rallidae (Rails, Gallinules, and Coots)","American Coot",1.85331732152778,"Fulica americana",-0.187335688,"Fulica americana",0,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"16","Grus canadensis","Antigone canadensis","Antigone canadensis","Gruidae (Cranes)","Sandhill Crane",0.744852137833333,"Antigone canadensis",-1.210054524,"Grus canadensis",1,"Gruidae","(Cranes)","Yes","Estuaries and saltwater marshes"
"17","Charadrius wilsonia","Charadrius wilsonia","Charadrius wilsonia","Charadriidae (Plovers and Lapwings)","Wilson's Plover",1.088734659875,"Charadrius wilsonia",-1.272321192,"Charadrius wilsonia",0,"Charadriidae","(Plovers and Lapwings)","Yes",""
