descriptors,diet_habitat,coastal_Y/N/M,notes
Abbott's,,,
Aberrant,,,
Abert's,,,
Abyssinian,,,
Acadian,,,
Acorn,Y,N,diet or habitat
African,,,
Albert's,,,
Alder,Y,N,diet or habitat
Alexandrine,,,
Allen's,,,
Alpine,Y,N,habitat
Altamira,,,
Amazilia,,,
Amazon,,,
Amazonian,,,
Ameline,,,
American,,,
Amethyst,,,
Amethyst-throated,,,
Amur,,,
Ancient,,,
Andaman,,,
Andean,,,
Angola,,,
Anna's,,,
Ant,Y,N,diet
Anteater,Y,N,diet
Antillean,,,
Apical,,,
Aplomado,,,
Apolinar's,,,
Aquatic,Y,Y,habitat
Arabian,,,
Arafura,,,
Arctic,Y,Y,could refer to ocean
Arizona,,,
Armenian,,,
Arrow-marked,,,
Arrowhead,,,
Ash-breasted,,,
Ash-browed,,,
Ash-colored,,,
Ash-throated,,,
Ashy,,,
Ashy-bellied,,,
Ashy-crowned,,,
Ashy-fronted,,,
Ashy-headed,,,
Ashy-throated,,,
Asian,,,
Atherton,,,
Atlantic,Y,Y,ocean
Audouin's,,,
Audubon's,,,
Augur,,,
Austral,,,
Australasian,,,
Australian,,,
Azara's,,,
Azure,,,
Azure-crowned,,,
Azure-hooded,,,
Azure-rumped,,,
Azure-shouldered,,,
Azure-winged,,,
Bachman's,,,
Baglafecht,,,
Bahama,Y,M,island habitat
Baillon's,,,
Baird's,,,
Bald,,,
Balearic,Y,Y,sea
Baltimore,,,
Bamboo,Y,N,habitat or diet
Band-backed,,,
Band-rumped,,,
Band-tailed,,,
Band-winged,,,
Banded,,,
Bank,Y,M,habitat
Bar-bellied,,,
Bar-breasted,,,
Bar-crested,,,
Bar-headed,,,
Bar-shouldered,,,
Bar-tailed,,,
Bar-throated,,,
Bar-winged,,,
Bare-faced,,,
Bare-necked,,,
Bare-throated,,,
Barking,,,
Barn,Y,N,habitat (nesting)
Barnacle,Y,Y,diet
Barred,,,
Barren,,,
Barrow's,,,
Basra,,,
Bassian,,,
Bat,Y,N,diet?
Bay,Y,Y,possibly habitat
Bay-backed,,,
Bay-breasted,,,
Bay-headed,,,
Baya,,,
Beach,Y,Y,habitat
Bean,,,
Bearded,,,
Beardless,,,
Beautiful,,,
Bee,,,
Beijing,,,
Belcher's,,,
Bell,,,
Bell's,,,
Belted,,,
Bendire's,,,
Bengal,,,
Berthelot's,,,
Beryl-spangled,,,
Berylline,,,
Bewick's,,,
Bicknell's,,,
Bicolored,,,
Black,,,
Black-and-chestnut,,,
Black-and-crimson,,,
Black-and-rufous,,,
Black-and-white,,,
Black-and-white-casqued,,,
Black-and-yellow,,,
Black-backed,,,
Black-bellied,,,
Black-billed,,,
Black-bodied,,,
Black-breasted,,,
Black-browed,,,
Black-capped,,,
Black-cheeked,,,
Black-chested,,,
Black-chinned,,,
Black-collared,,,
Black-cowled,,,
Black-crested,,,
Black-crowned,,,
Black-eared,,,
Black-faced,,,
Black-fronted,,,
Black-goggled,,,
Black-headed,,,
Black-hooded,,,
Black-legged,,,
Black-lored,,,
Black-naped,,,
Black-necked,,,
Black-necklaced,,,
Black-polled,,,
Black-rumped,,,
Black-shouldered,,,
Black-sided,,,
Black-spotted,,,
Black-striped,,,
Black-tailed,,,
Black-throated,,,
Black-vented,,,
Black-whiskered,,,
Black-winged,,,
Blackburnian,,,
Blackish,,,
Blackpoll,,,
Blacksmith,,,
Blas,,,
Blond-crested,,,
Blood-colored,,,
Blue,,,
Blue-and-black,,,
Blue-and-white,,,
Blue-and-yellow,,,
Blue-backed,,,
Blue-banded,,,
Blue-bearded,,,
Blue-billed,,,
Blue-black,,,
Blue-breasted,,,
Blue-capped,,,
Blue-cheeked,,,
Blue-chested,,,
Blue-crowned,,,
Blue-eared,,,
Blue-faced,,,
Blue-footed,,,
Blue-gray,,,
Blue-headed,,,
Blue-mantled,,,
Blue-naped,,,
Blue-necked,,,
Blue-rumped,,,
Blue-spotted,,,
Blue-tailed,,,
Blue-throated,,,
Blue-tufted,,,
Blue-vented,,,
Blue-winged,,,
Bluish,,,
Bluish-fronted,,,
Bluish-gray,,,
Bluish-slate,,,
Blyth's,,,
Boat-billed,,,
Boat-tailed,,,
Bogota,,,
Bohemian,,,
Bold-striped,,,
Bolivian,,,
Bonaparte's,,,
Bonelli's,,,
Booted,,,
Boreal,Y,N,habitat
Bornean,,,
Botteri's,,,
