"","X","Family","BLFamilyLatin","BLFamilyEnglish","Coastal","Notes"
"1",1,"Anatidae","Anatidae","Ducks, geese and swans","Yes",""
"2",2,"Caprimulgidae","Caprimulgidae","Nightjars","",""
"3",3,"Rallidae","Rallidae","Rails, crakes and allies","Yes","coastal marshes or water "
"4",4,"Gruidae","Gruidae","Cranes","Yes","Estuaries and saltwater marshes"
"5",5,"Laridae","Laridae","Gulls and terns","Yes",""
"6",6,"Strigidae","Strigidae","Owls","","near coast but maybe not coastal? Im sure some hunt in estuarine watersheds "
"7",7,"Picidae","Picidae","Woodpeckers","",""
"8",8,"Paridae","Paridae","Tits and chickadees","",""
"9",9,"Reguliidae","Reguliidae","Goldcrests and kinglets","",""
"10",10,"Fringillidae","Fringillidae","Finches and Hawaiian honeycreepers","",""
"11",11,"Emberizidae","Emberizidae","Buntings, American sparrows and allies","",""
"12",12,"Parulidae","Parulidae","New World warblers","",""
"13",13,"Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE"
"14",14,"Meliphagidae","Meliphagidae","Honeyeaters","",""
"15",15,"Muscicapidae","Muscicapidae","Chats and Old World flycatchers","",""
"16",16,"Passeridae","Passeridae","Sparrows, snowfinches and allies","",""
"17",17,"Sylviidae","Sylviidae","Old World warblers","",""
"18",18,"Timaliidae","Timaliidae","Babblers and parrotbills","",""
"19",19,"Odontophoridae","Odontophoridae","New World quails","",""
"20",20,"Cuculidae","Cuculidae","Cuckoos","",""
"21",21,"Trochilidae","Trochilidae","Hummingbirds","",""
"22",22,"Charadriidae","Charadriidae","Plovers","Yes",""
"23",23,"Scolopacidae","Scolopacidae","Sandpipers and allies","Yes",""
"24",24,"Ardeidae","Ardeidae","Herons and egrets","Yes",""
"25",25,"Tytonidae","Tytonidae","Barn owls","",""
"26",26,"Falconidae","Falconidae","Falcons and caracaras","","INVESTIGATE"
"27",27,"Tyrannidae","Tyrannidae","Tyrant-flycatchers","",""
"28",28,"Vireonidae","Vireonidae","Vireos and allies","",""
"29",29,"Laniidae","Laniidae","Shrikes","",""
"30",30,"Alaudidae","Alaudidae","Larks","",""
"31",31,"Sittidae","Sittidae","Nuthatches and Wallcreeper","",""
"32",32,"Certhiidae","Certhiidae","Treecreepers","",""
"33",33,"Cinclidae","Cinclidae","Dippers","",""
"34",34,"Turdidae","Turdidae","Thrushes","",""
"35",35,"Motacillidae","Motacillidae","Wagtails and pipits","",""
"36",36,"Icteridae","Icteridae","New World blackbirds","",""
"37",37,"Podargidae","Podargidae","Frogmouths","",""
"38",38,"Burhinidae","Burhinidae","Thick-knees","Yes",""
"39",39,"Columbidae","Columbidae","Doves and pigeons","",""
"40",40,"Acanthizidae","Acanthizidae","Thornbills and gerygones","",""
"41",41,"Colluricinclidae","Colluricinclidae","Shrike-thrushes and allies","",""
"42",42,"Maluridae","Maluridae","Australasian wrens","",""
"43",43,"Pachycephalidae","Pachycephalidae","Whistlers","",""
"44",44,"Petroicidae","Petroicidae","Australasian robins","",""
"45",45,"Prunellidae","Prunellidae","Accentors","",""
"46",46,"Rhipiduridae","Rhipiduridae","Fantails","",""
"47",47,"Zosteropidae","Zosteropidae","White-eyes","",""
"48",48,"Psittacidae","Psittacidae","Parrots","",""
"49",49,"Phasianidae","Phasianidae","Grouse, pheasants and partridges","",""
"50",50,"Podicipedidae","Podicipedidae","Grebes","Yes",""
"51",51,"Apodidae","Apodidae","Swifts","",""
"52",52,"Recurvirostridae","Recurvirostridae","Stilts and avocets","Yes",""
"53",53,"Haematopodidae","Haematopodidae","Oystercatchers","Yes",""
"54",54,"Alcidae","Alcidae","Auks","Yes",""
"55",55,"Gaviidae","Gaviidae","Loons or divers","Yes",""
"56",56,"Pelecanidae","Pelecanidae","Pelicans","Yes",""
"57",57,"Threskiornithidae","Threskiornithidae","Ibises and spoonbills","Yes","some in coastal lagoons"
"58",58,"Cathartidae","Cathartidae","New World vultures","","INVESTIGATE"
"59",59,"Alcedinidae","Alcedinidae","Kingfishers","Yes",""
"60",60,"Corvidae","Corvidae","Crows and jays","",""
"61",61,"Remizidae","Remizidae","Penduline-tits","",""
"62",62,"Hirundinidae","Hirundinidae","Swallows and martins","",""
"63",63,"Aegithalidae","Aegithalidae","Long-tailed Tits","",""
"64",64,"Bombycillidae","Bombycillidae","Waxwings","",""
"65",65,"Polioptilidae","Polioptilidae","Gnatcatchers","",""
"66",66,"Troglodytidae","Troglodytidae","Wrens","",""
