,Family_Sci,Family_English,BLFamilyLatin,BLFamilyEnglish,Coastal,Notes
1,Regulidae,(Kinglets),NA,NA,No,NA
2,Passerellidae,(New World Sparrows),NA,NA,No,mention of marsh but not saltwater or coastal 
3,Acrocephalidae,(Reed Warblers and Allies),NA,NA,No,mention of marsh --> did not explicitely say coastal… 
4,Leiothrichidae,(Laughingthrushes and Allies),NA,NA,No,NA
5,Phylloscopidae,(Leaf Warblers),NA,NA,No,NA
6,Cacatuidae,(Cockatoos),NA,NA,No,NA
7,Psittaculidae,(Old World Parrots),NA,NA,No,NA
8,Pandionidae,(Osprey),NA,NA,Yes,NA
9,Ptiliogonatidae,(Silky-flycatchers),NA,NA,No,woodlands near the coast… 
10,Calcariidae,(Longspurs and Snow Buntings),NA,NA,Yes,beaches / concentrate near coastlines
11,Icteriidae,(Yellow-breasted Chat),NA,NA,Yes,mangroves
12,Pluvianellidae,(Magellanic Plover),NA,NA,Yes,"coast in winter, fresh or brackish water in other seasons"
13,Mohouidae,(Whiteheads),NA,NA,No,NA
14,Callaeidae,(Wattlebirds),NA,NA,No,NA
15,Tityridae,(Tityras and Allies),NA,NA,No,NA
16,Psophodidae,(Whipbirds and Wedgebills),NA,NA,No,NA
17,Calyptomenidae,(African and Green Broadbills),NA,NA,No,NA
18,Grallariidae,(Antpittas),NA,NA,No,NA
19,Notiomystidae,(Stitchbird),NA,NA,No,NA
20,Donacobiidae,(Donacobius),NA,NA,No,"one species, water's edge gleaner, freshwater. "
21,Stenostiridae,(Fairy Flycatchers),NA,NA,No,NA
22,Teretistridae,(Cuban Warblers),NA,NA,Yes,ranges from coast to inland forests
23,Melanopareiidae,(Crescentchests),NA,NA,No,NA
24,Buphagidae,(Oxpeckers),NA,NA,No,NA
25,Scotocercidae,(Bush Warblers and Allies),NA,NA,No,NA
26,Bernieridae,(Malagasy Warblers),NA,NA,No,NA
27,Locustellidae,(Grassbirds and Allies),NA,NA,No,"swamps and marshes, but no mention of coastal"
28,Macrosphenidae,(African Warblers),NA,NA,No,NA
29,Mitrospingidae,(Mitrospingid Tanagers),NA,NA,No,NA
30,Phaenicophilidae,(Hispaniolan Tanagers),NA,NA,No,NA
31,Rhodinocichlidae,(Thrush-Tanager),NA,NA,No,NA
32,Spindalidae,(Spindalises),NA,NA,No,NA
33,Pellorneidae,(Ground Babblers and Allies),NA,NA,No,NA
34,Panuridae,(Bearded Reedling),NA,NA,No,NA
35,Pnoepygidae,(Cupwings),NA,NA,No,NA
36,Chaetopidae,(Rockjumpers),NA,NA,No,NA
37,Oxyruncidae,"(Sharpbill, Royal Flycatcher, and Allies)",NA,NA,No,NA
38,Capitonidae,(New World Barbets),NA,NA,No,NA
39,Lybiidae,(African Barbets),NA,NA,No,NA
40,Megalaimidae,(Asian Barbets),NA,NA,No,NA
41,Strigopidae,(New Zealand Parrots),NA,NA,No,NA
42,Pteroclidae,(Sandgrouse),NA,NA,No,NA
