"","Family_Sci","Family_English","BLFamilyLatin","BLFamilyEnglish","Coastal","Notes"
"1","Regulidae","(Kinglets)",NA,NA,NA,NA
"2","Passerellidae","(New World Sparrows)",NA,NA,NA,NA
"3","Acrocephalidae","(Reed Warblers and Allies)",NA,NA,NA,NA
"4","Leiothrichidae","(Laughingthrushes and Allies)",NA,NA,NA,NA
"5","Phylloscopidae","(Leaf Warblers)",NA,NA,NA,NA
"6","Cacatuidae","(Cockatoos)",NA,NA,NA,NA
"7","Psittaculidae","(Old World Parrots)",NA,NA,NA,NA
"8","Pandionidae","(Osprey)",NA,NA,NA,NA
"9","Ptiliogonatidae","(Silky-flycatchers)",NA,NA,NA,NA
"10","Calcariidae","(Longspurs and Snow Buntings)",NA,NA,NA,NA
"11","Icteriidae","(Yellow-breasted Chat)",NA,NA,NA,NA
"12","Pluvianellidae","(Magellanic Plover)",NA,NA,NA,NA
"13","Mohouidae","(Whiteheads)",NA,NA,NA,NA
"14","Callaeidae","(Wattlebirds)",NA,NA,NA,NA
"15","Tityridae","(Tityras and Allies)",NA,NA,NA,NA
"16","Psophodidae","(Whipbirds and Wedgebills)",NA,NA,NA,NA
"17","Calyptomenidae","(African and Green Broadbills)",NA,NA,NA,NA
"18","Grallariidae","(Antpittas)",NA,NA,NA,NA
"19","Notiomystidae","(Stitchbird)",NA,NA,NA,NA
"20","Donacobiidae","(Donacobius)",NA,NA,NA,NA
"21","Stenostiridae","(Fairy Flycatchers)",NA,NA,NA,NA
"22","Teretistridae","(Cuban Warblers)",NA,NA,NA,NA
"23","Melanopareiidae","(Crescentchests)",NA,NA,NA,NA
"24","Buphagidae","(Oxpeckers)",NA,NA,NA,NA
"25","Scotocercidae","(Bush Warblers and Allies)",NA,NA,NA,NA
"26","Bernieridae","(Malagasy Warblers)",NA,NA,NA,NA
"27","Locustellidae","(Grassbirds and Allies)",NA,NA,NA,NA
"28","Macrosphenidae","(African Warblers)",NA,NA,NA,NA
"29","Mitrospingidae","(Mitrospingid Tanagers)",NA,NA,NA,NA
"30","Phaenicophilidae","(Hispaniolan Tanagers)",NA,NA,NA,NA
"31","Rhodinocichlidae","(Thrush-Tanager)",NA,NA,NA,NA
"32","Spindalidae","(Spindalises)",NA,NA,NA,NA
"33","Pellorneidae","(Ground Babblers and Allies)",NA,NA,NA,NA
"34","Panuridae","(Bearded Reedling)",NA,NA,NA,NA
"35","Pnoepygidae","(Cupwings)",NA,NA,NA,NA
"36","Chaetopidae","(Rockjumpers)",NA,NA,NA,NA
"37","Oxyruncidae","(Sharpbill, Royal Flycatcher, and Allies)",NA,NA,NA,NA
"38","Capitonidae","(New World Barbets)",NA,NA,NA,NA
"39","Lybiidae","(African Barbets)",NA,NA,NA,NA
"40","Megalaimidae","(Asian Barbets)",NA,NA,NA,NA
"41","Strigopidae","(New Zealand Parrots)",NA,NA,NA,NA
"42","Pteroclidae","(Sandgrouse)",NA,NA,NA,NA
