"","X","MUTIscore","SciName_MUTI","CommonName_MUTI","Species_eBird","Species_Jetz","Family_Jetz","Order_Jetz","CommonName_UAI","aveUAI.x","Order_eBird","Species_BirdLife","family","family.MUTI","Species_UN","Urban","Family_UN_only","Family_all","Family","BLFamilyEnglish.x","Coastal","Notes","Species","IOCOrder","BLFamilyLatin","BLFamilyEnglish.y","Scientific","English","CoastalSp","aveUAI.y"
"1",64,NA,NA,NA,"Geranoaetus albicaudatus","Buteo albicaudatus","Accipitridae","Accipitriformes","White-tailed Hawk",1.34629837,"Accipitriformes","Geranoaetus albicaudatus",NA,NA,"Buteo albicaudatus","N","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_albicaudatus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo albicaudatus","White-tailed Hawk","No",1.34629837
"2",151,2.61478251,"Accipiter cooperii","Cooper's Hawk","Accipiter cooperii","Accipiter cooperii","Accipitridae","Accipitriformes","Cooper's Hawk",2.222871741,"Accipitriformes","Accipiter cooperii","Accipitridae","Accipitridae","Accipiter cooperii","U","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_cooperii","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter cooperii","Cooper's Hawk","No",2.222871741
"3",152,1.37136443,"Buteo lineatus","Red-shouldered Hawk","Buteo lineatus","Buteo lineatus","Accipitridae","Accipitriformes","Red-shouldered Hawk",1.670350483,"Accipitriformes","Buteo lineatus","Accipitridae","Accipitridae","Buteo lineatus","U","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_lineatus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo lineatus","Red-shouldered Hawk","No",1.670350483
"4",153,-0.733911548,"Buteo platypterus","Broad-winged Hawk","Buteo platypterus","Buteo platypterus","Accipitridae","Accipitriformes","Broad-winged Hawk",1.543754105,"Accipitriformes","Buteo platypterus","Accipitridae","Accipitridae","Buteo platypterus","N","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_platypterus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo platypterus","Broad-winged Hawk","No",1.543754105
"5",154,0.122082355,"Buteo swainsoni","Swainson's Hawk","Buteo swainsoni","Buteo swainsoni","Accipitridae","Accipitriformes","Swainson's Hawk",1.505416308,"Accipitriformes","Buteo swainsoni","Accipitridae","Accipitridae","Buteo swainsoni","U","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_swainsoni","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo swainsoni","Swainson's Hawk","No",1.505416308
"6",155,-1.676962755,"Buteo albonotatus","Zone-tailed Hawk","Buteo albonotatus","Buteo albonotatus","Accipitridae","Accipitriformes","Zone-tailed Hawk",1.48336823,"Accipitriformes","Buteo albonotatus","Accipitridae","Accipitridae","Buteo albonotatus","N","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_albonotatus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo albonotatus","Zone-tailed Hawk","No",1.48336823
"7",156,1.229218034,"Buteo jamaicensis","Red-tailed Hawk","Buteo jamaicensis","Buteo jamaicensis","Accipitridae","Accipitriformes","Red-tailed Hawk",1.406946805,"Accipitriformes","Buteo jamaicensis","Accipitridae","Accipitridae","Buteo jamaicensis","U","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_jamaicensis","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo jamaicensis","Red-tailed Hawk","Yes",1.406946805
"8",157,-1.688411843,"Buteo regalis","Ferruginous Hawk","Buteo regalis","Buteo regalis","Accipitridae","Accipitriformes","Ferruginous Hawk",0.863435187,"Accipitriformes","Buteo regalis","Accipitridae","Accipitridae","Buteo regalis","N","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_regalis","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo regalis","Ferruginous Hawk","No",0.863435187
"9",169,0.697136296,"Falco sparverius","American Kestrel","Falco sparverius","Falco sparverius","Falconidae","Falconiformes","American Kestrel",1.535513151,"Falconiformes","Falco sparverius","Falconidae","Falconidae","Falco sparverius","U","","Falconidae","Falconidae","Falcons and caracaras","","INVESTIGATE","Falco_sparverius","Falconiformes","Falconidae","Falcons and caracaras","Falco sparverius","American Kestrel","No",1.535513151
"10",170,0.512835804,"Falco columbarius","Merlin","Falco columbarius","Falco columbarius","Falconidae","Falconiformes","Merlin",1.832785331,"Falconiformes","Falco columbarius","Falconidae","Falconidae","Falco columbarius","U","","Falconidae","Falconidae","Falcons and caracaras","","INVESTIGATE","Falco_columbarius","Falconiformes","Falconidae","Falcons and caracaras","Falco columbarius","Merlin","Yes",1.832785331
"11",171,-1.465331271,"Falco mexicanus","Prairie Falcon","Falco mexicanus","Falco mexicanus","Falconidae","Falconiformes","Prairie Falcon",0.978760431,"Falconiformes","Falco mexicanus","Falconidae","Falconidae","Falco mexicanus","N","","Falconidae","Falconidae","Falcons and caracaras","","INVESTIGATE","Falco_mexicanus","Falconiformes","Falconidae","Falcons and caracaras","Falco mexicanus","Prairie Falcon","No",0.978760431
"12",234,NA,NA,NA,"Accipiter badius","Accipiter badius","Accipitridae","Accipitriformes","Shikra",2.070468576,"Accipitriformes","Accipiter badius",NA,NA,"Accipiter badius","U","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_badius","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter badius","Shikra","No",2.070468576
"13",235,NA,NA,NA,"Accipiter cirrocephalus","Accipiter cirrocephalus","Accipitridae","Accipitriformes","Collared Sparrowhawk",1.43878721,"Accipitriformes","Accipiter cirrocephalus",NA,NA,"Accipiter cirrocephalus","U","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_cirrocephalus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter cirrocephalus","Collared Sparrowhawk","No",1.43878721
"14",236,NA,NA,NA,"Accipiter fasciatus","Accipiter fasciatus","Accipitridae","Accipitriformes","Brown Goshawk",1.47249812,"Accipitriformes","Accipiter fasciatus",NA,NA,"Accipiter fasciatus","U","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_fasciatus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter fasciatus","Brown Goshawk","No",1.47249812
"15",237,NA,NA,NA,"Accipiter novaehollandiae","Accipiter novaehollandiae","Accipitridae","Accipitriformes","Gray Goshawk",1.31573487,"Accipitriformes","Accipiter novaehollandiae",NA,NA,"Accipiter novaehollandiae","N","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_novaehollandiae",NA,NA,NA,NA,NA,NA,NA
"16",238,NA,NA,NA,"Accipiter striatus","Accipiter striatus","Accipitridae","Accipitriformes","Sharp-shinned Hawk",1.822389331,"Accipitriformes","Accipiter striatus",NA,NA,"Accipiter striatus","N","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_striatus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter striatus","Sharp-shinned Hawk","No",1.822389331
"17",239,NA,NA,NA,"Buteo buteo","Buteo buteo","Accipitridae","Accipitriformes","Common Buzzard",1.225068333,"Accipitriformes","Buteo buteo",NA,NA,"Buteo buteo","U","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_buteo","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo buteo","Common Buzzard","No",1.225068333
"18",240,NA,NA,NA,"Buteo lagopus","Buteo lagopus","Accipitridae","Accipitriformes","Rough-legged Hawk",1.018369228,"Accipitriformes","Buteo lagopus",NA,NA,"Buteo lagopus","N","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_lagopus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo lagopus","Rough-legged Hawk","Yes",1.018369228
"19",297,NA,NA,NA,"Falco berigora","Falco berigora","Falconidae","Falconiformes","Brown Falcon",0.555342499,"Falconiformes","Falco berigora",NA,NA,"Falco berigora","N","","Falconidae","Falconidae","Falcons and caracaras","","INVESTIGATE","Falco_berigora","Falconiformes","Falconidae","Falcons and caracaras","Falco berigora","Brown Falcon","No",0.555342499
"20",298,NA,NA,NA,"Falco cenchroides","Falco cenchroides","Falconidae","Falconiformes","Nankeen Kestrel",1.106892467,"Falconiformes","Falco cenchroides",NA,NA,"Falco cenchroides","U","","Falconidae","Falconidae","Falcons and caracaras","","INVESTIGATE","Falco_cenchroides","Falconiformes","Falconidae","Falcons and caracaras","Falco cenchroides","Nankeen Kestrel","Yes",1.106892467
"21",299,NA,NA,NA,"Falco naumanni","Falco naumanni","Falconidae","Falconiformes","Lesser Kestrel",1.642719677,"Falconiformes","Falco naumanni",NA,NA,"Falco naumanni","U","","Falconidae","Falconidae","Falcons and caracaras","","INVESTIGATE","Falco_naumanni","Falconiformes","Falconidae","Falcons and caracaras","Falco naumanni","Lesser Kestrel","No",1.642719677
"22",300,NA,NA,NA,"Falco peregrinus","Falco peregrinus","Falconidae","Falconiformes","Peregrine Falcon",1.974832947,"Falconiformes","Falco peregrinus",NA,NA,"Falco peregrinus","U","","Falconidae","Falconidae","Falcons and caracaras","","INVESTIGATE","Falco_peregrinus","Falconiformes","Falconidae","Falcons and caracaras","Falco peregrinus","Peregrine Falcon","Yes",1.974832947
