"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban"
"1","Struthio camelus","Struthio camelus","Struthio camelus","Struthionidae (Ostriches)","Common Ostrich",0.4460521675,NA,NA,NA,NA
"2","Rhea pennata","Rhea pennata","Rhea pennata","Rheidae (Rheas)","Lesser Rhea",0.010671411,NA,NA,NA,NA
"3","Nothocercus nigrocapillus","Nothocercus nigrocapillus","Nothocercus nigrocapillus","Tinamidae (Tinamous)","Hooded Tinamou",0.03433696,NA,NA,NA,NA
"4","Tinamus solitarius","Tinamus solitarius","Tinamus solitarius","Tinamidae (Tinamous)","Solitary Tinamou",0.965538818,NA,NA,NA,NA
"5","Tinamus major","Tinamus major","Tinamus major","Tinamidae (Tinamous)","Great Tinamou",0.437868856,NA,NA,NA,NA
"6","Tinamus guttatus","Tinamus guttatus","Tinamus guttatus","Tinamidae (Tinamous)","White-throated Tinamou",0.040199417,NA,NA,NA,NA
"7","Crypturellus cinereus","Crypturellus cinereus","Crypturellus cinereus","Tinamidae (Tinamous)","Cinereous Tinamou",0.254346758,NA,NA,NA,NA
"8","Crypturellus soui","Crypturellus soui","Crypturellus soui","Tinamidae (Tinamous)","Little Tinamou",0.2856016414,NA,NA,NA,NA
"9","Crypturellus obsoletus","Crypturellus obsoletus","Crypturellus obsoletus","Tinamidae (Tinamous)","Brown Tinamou",0.548145274333333,NA,NA,NA,NA
"10","Crypturellus undulatus","Crypturellus undulatus","Crypturellus undulatus","Tinamidae (Tinamous)","Undulated Tinamou",0.265810520666667,NA,NA,NA,NA
"11","Crypturellus transfasciatus","Crypturellus transfasciatus","Crypturellus transfasciatus","Tinamidae (Tinamous)","Pale-browed Tinamou",1.485865758,NA,NA,NA,NA
"12","Crypturellus atrocapillus","Crypturellus atrocapillus","Crypturellus atrocapillus","Tinamidae (Tinamous)","Black-capped Tinamou",0.019978047,NA,NA,NA,NA
"13","Crypturellus boucardi","Crypturellus boucardi","Crypturellus boucardi","Tinamidae (Tinamous)","Slaty-breasted Tinamou",0.006143511,NA,NA,NA,NA
"14","Crypturellus variegatus","Crypturellus variegatus","Crypturellus variegatus","Tinamidae (Tinamous)","Variegated Tinamou",1.471267859,NA,NA,NA,NA
"15","Crypturellus cinnamomeus","Crypturellus cinnamomeus","Crypturellus cinnamomeus","Tinamidae (Tinamous)","Thicket Tinamou",0.395836373333333,NA,NA,NA,NA
"16","Crypturellus parvirostris","Crypturellus parvirostris","Crypturellus parvirostris","Tinamidae (Tinamous)","Small-billed Tinamou",1.0058500984,NA,NA,NA,NA
"17","Crypturellus tataupa","Crypturellus tataupa","Crypturellus tataupa","Tinamidae (Tinamous)","Tataupa Tinamou",0.641026748,NA,NA,NA,NA
"18","Rhynchotus rufescens","Rhynchotus rufescens","Rhynchotus rufescens","Tinamidae (Tinamous)","Red-winged Tinamou",0.742917074333333,NA,NA,NA,NA
"19","Nothoprocta ornata","Nothoprocta ornata","Nothoprocta ornata","Tinamidae (Tinamous)","Ornate Tinamou",0.398928163,NA,NA,NA,NA
"20","Nothoprocta perdicaria","Nothoprocta perdicaria","Nothoprocta perdicaria","Tinamidae (Tinamous)","Chilean Tinamou",0.6653028465,NA,NA,NA,NA
"21","Nothoprocta cinerascens","Nothoprocta cinerascens","Nothoprocta cinerascens","Tinamidae (Tinamous)","Brushland Tinamou",1.055557589,NA,NA,NA,NA
"22","Nothoprocta pentlandii","Nothoprocta pentlandii","Nothoprocta pentlandii","Tinamidae (Tinamous)","Andean Tinamou",0.378682951,NA,NA,NA,NA
"23","Nothura boraquira","Nothura boraquira","Nothura boraquira","Tinamidae (Tinamous)","White-bellied Nothura",0.900636307,NA,NA,NA,NA
"24","Nothura maculosa","Nothura maculosa","Nothura maculosa","Tinamidae (Tinamous)","Spotted Nothura",0.8305903015,NA,NA,NA,NA
"25","Dromaius novaehollandiae","Dromaius novaehollandiae","Dromaius novaehollandiae","Casuariidae (Cassowaries and Emu)","Emu",1.025236875,NA,NA,NA,NA
"26","Apteryx mantelli","Apteryx mantelli","Apteryx mantelli","Apterygidae (Kiwis)","North Island Brown Kiwi",0.011588561,NA,NA,NA,NA
