"","Species_Jetz","Family_Jetz","Order_Jetz","CommonName","aveUAI","Species_eBird","Order_eBird","Species_BirdLife"
"1","Accipiter badius","Accipitridae","Accipitriformes","Shikra",2.07046857636364,"Accipiter badius","Accipitriformes","Accipiter badius"
"2","Accipiter bicolor","Accipitridae","Accipitriformes","Bicolored Hawk",0.643384159,"Accipiter bicolor","Accipitriformes","Accipiter bicolor"
"3","Accipiter brevipes","Accipitridae","Accipitriformes","Levant Sparrowhawk",2.961498189,"Accipiter brevipes","Accipitriformes","Accipiter brevipes"
"4","Accipiter cirrocephalus","Accipitridae","Accipitriformes","Collared Sparrowhawk",1.438787209625,"Accipiter cirrocephalus","Accipitriformes","Accipiter cirrocephalus"
"5","Accipiter cooperii","Accipitridae","Accipitriformes","Cooper's Hawk",2.22287174146429,"Accipiter cooperii","Accipitriformes","Accipiter cooperii"
"6","Accipiter fasciatus","Accipitridae","Accipitriformes","Brown Goshawk",1.472498120375,"Accipiter fasciatus","Accipitriformes","Accipiter fasciatus"
"7","Accipiter gentilis","Accipitridae","Accipitriformes","Northern Goshawk",1.65342041861111,"Accipiter gentilis","Accipitriformes","Accipiter gentilis"
"8","Accipiter gularis","Accipitridae","Accipitriformes","Japanese Sparrowhawk",2.4728028406,"Accipiter gularis","Accipitriformes","Accipiter gularis"
"9","Accipiter melanoleucus","Accipitridae","Accipitriformes","Black Goshawk",2.064683248,"Accipiter melanoleucus","Accipitriformes","Accipiter melanoleucus"
"10","Accipiter nisus","Accipitridae","Accipitriformes","Eurasian Sparrowhawk",1.85483298364286,"Accipiter nisus","Accipitriformes","Accipiter nisus"
"11","Accipiter novaehollandiae","Accipitridae","Accipitriformes","Gray Goshawk",1.3157348702,"Accipiter novaehollandiae","Accipitriformes","Accipiter novaehollandiae"
"12","Accipiter ovampensis","Accipitridae","Accipitriformes","Ovambo Sparrowhawk",2.474986509,"Accipiter ovampensis","Accipitriformes","Accipiter ovampensis"
"13","Accipiter rufiventris","Accipitridae","Accipitriformes","Rufous-breasted Sparrowhawk",1.908618481,"Accipiter rufiventris","Accipitriformes","Accipiter rufiventris"
"14","Accipiter soloensis","Accipitridae","Accipitriformes","Chinese Sparrowhawk",2.137403461,"Accipiter soloensis","Accipitriformes","Accipiter soloensis"
"15","Accipiter striatus","Accipitridae","Accipitriformes","Sharp-shinned Hawk",1.82238933061765,"Accipiter striatus","Accipitriformes","Accipiter striatus"
"16","Accipiter tachiro","Accipitridae","Accipitriformes","African Goshawk",1.67035562633333,"Accipiter tachiro","Accipitriformes","Accipiter tachiro"
"17","Accipiter trivirgatus","Accipitridae","Accipitriformes","Crested Goshawk",2.85972743033333,"Accipiter trivirgatus","Accipitriformes","Accipiter trivirgatus"
"18","Accipiter virgatus","Accipitridae","Accipitriformes","Besra",2.076683786,"Accipiter virgatus","Accipitriformes","Accipiter virgatus"
"19","Aegypius monachus","Accipitridae","Accipitriformes","Cinereous Vulture",1.4172623785,"Aegypius monachus","Accipitriformes","Aegypius monachus"
"20","Aquila adalberti","Accipitridae","Accipitriformes","Spanish Eagle",1.135287727,"Aquila adalberti","Accipitriformes","Aquila adalberti"
"21","Aquila audax","Accipitridae","Accipitriformes","Wedge-tailed Eagle",0.542604742142857,"Aquila audax","Accipitriformes","Aquila audax"
"22","Aquila chrysaetos","Accipitridae","Accipitriformes","Golden Eagle",0.833531357818182,"Aquila chrysaetos","Accipitriformes","Aquila chrysaetos"
"23","Aquila clanga","Accipitridae","Accipitriformes","Greater Spotted Eagle",1.754912619375,"Clanga clanga","Accipitriformes","Clanga clanga"
"24","Aquila fasciatus","Accipitridae","Accipitriformes","Bonelli's Eagle",1.1258786804,"Aquila fasciata","Accipitriformes","Aquila fasciata"
"25","Aquila hastata","Accipitridae","Accipitriformes","Indian Spotted Eagle",1.490141911,"Clanga hastata","Accipitriformes","Clanga hastata"
"26","Aquila heliaca","Accipitridae","Accipitriformes","Imperial Eagle",1.2169226544,"Aquila heliaca","Accipitriformes","Aquila heliaca"
"27","Aquila nipalensis","Accipitridae","Accipitriformes","Steppe Eagle",1.65532649833333,"Aquila nipalensis","Accipitriformes","Aquila nipalensis"
"28","Aquila pomarina","Accipitridae","Accipitriformes","Lesser Spotted Eagle",1.8005335575,"Clanga pomarina","Accipitriformes","Clanga pomarina"
"29","Aquila rapax","Accipitridae","Accipitriformes","Tawny Eagle",0.914974317,"Aquila rapax","Accipitriformes","Aquila rapax"
"30","Aquila verreauxii","Accipitridae","Accipitriformes","Verreaux's Eagle",1.211401318,"Aquila verreauxii","Accipitriformes","Aquila verreauxii"
"31","Aquila wahlbergi","Accipitridae","Accipitriformes","Wahlberg's Eagle",0.738571399,"Hieraaetus wahlbergi","Accipitriformes","Hieraaetus wahlbergi"
"32","Aviceda jerdoni","Accipitridae","Accipitriformes","Jerdon's Baza",3.713046242,"Aviceda jerdoni","Accipitriformes","Aviceda jerdoni"
"33","Aviceda leuphotes","Accipitridae","Accipitriformes","Black Baza",2.55186238,"Aviceda leuphotes","Accipitriformes","Aviceda leuphotes"
"34","Aviceda subcristata","Accipitridae","Accipitriformes","Pacific Baza",1.38779913175,"Aviceda subcristata","Accipitriformes","Aviceda subcristata"
"35","Busarellus nigricollis","Accipitridae","Accipitriformes","Black-collared Hawk",1.40759362266667,"Busarellus nigricollis","Accipitriformes","Busarellus nigricollis"
"36","Butastur indicus","Accipitridae","Accipitriformes","Gray-faced Buzzard",1.6671524055,"Butastur indicus","Accipitriformes","Butastur indicus"
"37","Butastur teesa","Accipitridae","Accipitriformes","White-eyed Buzzard",1.23174679675,"Butastur teesa","Accipitriformes","Butastur teesa"
"38","Buteo albicaudatus","Accipitridae","Accipitriformes","White-tailed Hawk",1.3462983704,"Geranoaetus albicaudatus","Accipitriformes","Geranoaetus albicaudatus"
"39","Buteo albigula","Accipitridae","Accipitriformes","White-throated Hawk",0.260708445,"Buteo albigula","Accipitriformes","Buteo albigula"
"40","Buteo albonotatus","Accipitridae","Accipitriformes","Zone-tailed Hawk",1.4833682295,"Buteo albonotatus","Accipitriformes","Buteo albonotatus"
"41","Buteo augur","Accipitridae","Accipitriformes","Augur Buzzard",1.1613655815,"Buteo augur","Accipitriformes","Buteo augur"
"42","Buteo brachypterus","Accipitridae","Accipitriformes","Madagascar Buzzard",0.050486367,"Buteo brachypterus","Accipitriformes","Buteo brachypterus"
"43","Buteo brachyurus","Accipitridae","Accipitriformes","Short-tailed Hawk",1.554134227,"Buteo brachyurus","Accipitriformes","Buteo brachyurus"
"44","Buteo buteo","Accipitridae","Accipitriformes","Common Buzzard",1.22506833322222,"Buteo buteo","Accipitriformes","Buteo buteo"
"45","Buteo buteo","Accipitridae","Accipitriformes","Eastern Buzzard",2.1540475522,"Buteo japonicus","Accipitriformes","Buteo japonicus"
"46","Buteo jamaicensis","Accipitridae","Accipitriformes","Red-tailed Hawk",1.40694680530303,"Buteo jamaicensis","Accipitriformes","Buteo jamaicensis"
"47","Buteo lagopus","Accipitridae","Accipitriformes","Rough-legged Hawk",1.01836922826667,"Buteo lagopus","Accipitriformes","Buteo lagopus"
"48","Buteo lineatus","Accipitridae","Accipitriformes","Red-shouldered Hawk",1.67035048293333,"Buteo lineatus","Accipitriformes","Buteo lineatus"
"49","Buteo magnirostris","Accipitridae","Accipitriformes","Roadside Hawk",1.71791412648,"Rupornis magnirostris","Accipitriformes","Rupornis magnirostris"
"50","Buteo nitidus","Accipitridae","Accipitriformes","Gray Hawk",0.944008628428571,"Buteo plagiatus","Accipitriformes","Buteo plagiatus"
"51","Buteo nitidus","Accipitridae","Accipitriformes","Gray-lined Hawk",1.8221313146,"Buteo nitidus","Accipitriformes","Buteo nitidus"
"52","Buteo platypterus","Accipitridae","Accipitriformes","Broad-winged Hawk",1.5437541053,"Buteo platypterus","Accipitriformes","Buteo platypterus"
"53","Buteo polyosoma","Accipitridae","Accipitriformes","Variable Hawk",0.65018144425,"Geranoaetus polyosoma","Accipitriformes","Geranoaetus polyosoma"
"54","Buteo regalis","Accipitridae","Accipitriformes","Ferruginous Hawk",0.863435187142857,"Buteo regalis","Accipitriformes","Buteo regalis"
"55","Buteo ridgwayi","Accipitridae","Accipitriformes","Ridgway's Hawk",0.026779846,"Buteo ridgwayi","Accipitriformes","Buteo ridgwayi"
"56","Buteo rufinus","Accipitridae","Accipitriformes","Long-legged Buzzard",1.2300587598,"Buteo rufinus","Accipitriformes","Buteo rufinus"
"57","Buteo rufofuscus","Accipitridae","Accipitriformes","Jackal Buzzard",0.9227046895,"Buteo rufofuscus","Accipitriformes","Buteo rufofuscus"
"58","Buteo swainsoni","Accipitridae","Accipitriformes","Swainson's Hawk",1.50541630847059,"Buteo swainsoni","Accipitriformes","Buteo swainsoni"
"59","Buteogallus aequinoctialis","Accipitridae","Accipitriformes","Rufous Crab Hawk",1.377700612,"Buteogallus aequinoctialis","Accipitriformes","Buteogallus aequinoctialis"
"60","Buteogallus anthracinus","Accipitridae","Accipitriformes","Common Black Hawk",0.742525102375,"Buteogallus anthracinus","Accipitriformes","Buteogallus anthracinus"
"61","Buteogallus meridionalis","Accipitridae","Accipitriformes","Savanna Hawk",1.1001441555,"Buteogallus meridionalis","Accipitriformes","Buteogallus meridionalis"
"62","Buteogallus urubitinga","Accipitridae","Accipitriformes","Great Black Hawk",1.5980869735,"Buteogallus urubitinga","Accipitriformes","Buteogallus urubitinga"
"63","Chondrohierax uncinatus","Accipitridae","Accipitriformes","Hook-billed Kite",1.55215159566667,"Chondrohierax uncinatus","Accipitriformes","Chondrohierax uncinatus"
"64","Circaetus gallicus","Accipitridae","Accipitriformes","Short-toed Snake-Eagle",1.1713572675,"Circaetus gallicus","Accipitriformes","Circaetus gallicus"
"65","Circus aeruginosus","Accipitridae","Accipitriformes","Eurasian Marsh-Harrier",1.14159233076,"Circus aeruginosus","Accipitriformes","Circus aeruginosus"
"66","Circus approximans","Accipitridae","Accipitriformes","Swamp Harrier",0.7297668651,"Circus approximans","Accipitriformes","Circus approximans"
"67","Circus assimilis","Accipitridae","Accipitriformes","Spotted Harrier",0.77673743,"Circus assimilis","Accipitriformes","Circus assimilis"
"68","Circus buffoni","Accipitridae","Accipitriformes","Long-winged Harrier",1.6457633455,"Circus buffoni","Accipitriformes","Circus buffoni"
"69","Circus cinereus","Accipitridae","Accipitriformes","Cinereous Harrier",0.6880147115,"Circus cinereus","Accipitriformes","Circus cinereus"
"70","Circus cyaneus","Accipitridae","Accipitriformes","Hen Harrier",0.836440844545455,"Circus cyaneus","Accipitriformes","Circus cyaneus"
"71","Circus cyaneus","Accipitridae","Accipitriformes","Northern Harrier",1.01304330275,"Circus hudsonius","Accipitriformes","Circus hudsonius"
"72","Circus macrourus","Accipitridae","Accipitriformes","Pallid Harrier",1.054599529,"Circus macrourus","Accipitriformes","Circus macrourus"
"73","Circus maurus","Accipitridae","Accipitriformes","Black Harrier",0.473010796,"Circus maurus","Accipitriformes","Circus maurus"
"74","Circus melanoleucos","Accipitridae","Accipitriformes","Pied Harrier",1.032935077,"Circus melanoleucos","Accipitriformes","Circus melanoleucos"
"75","Circus pygargus","Accipitridae","Accipitriformes","Montagu's Harrier",0.659669215333333,"Circus pygargus","Accipitriformes","Circus pygargus"
"76","Circus ranivorus","Accipitridae","Accipitriformes","African Marsh-Harrier",0.779258739,"Circus ranivorus","Accipitriformes","Circus ranivorus"
"77","Circus spilonotus","Accipitridae","Accipitriformes","Eastern Marsh-Harrier",1.4708704224,"Circus spilonotus","Accipitriformes","Circus spilonotus"
"78","Elanoides forficatus","Accipitridae","Accipitriformes","Swallow-tailed Kite",0.81530759425,"Elanoides forficatus","Accipitriformes","Elanoides forficatus"
"79","Elanus axillaris","Accipitridae","Accipitriformes","Black-shouldered Kite",1.36539461766667,"Elanus axillaris","Accipitriformes","Elanus axillaris"
"80","Elanus caeruleus","Accipitridae","Accipitriformes","Black-winged Kite",1.36717280611765,"Elanus caeruleus","Accipitriformes","Elanus caeruleus"
